# app	/Users/jacob/githubApps/Scale/src-tauri/target/release/bundle/macos/Sovatela.app
# version	1.6.0
phase	time	source	remote
chat	09:01:23	rust	51.159.86.116:443
chat	09:01:24	rust	51.159.86.116:443
chat	09:01:24	rust	51.159.86.116:443
chat	09:01:25	rust	51.159.86.116:443
chat	09:01:25	rust	51.159.86.116:443
chat	09:01:26	rust	51.159.86.116:443
chat	09:01:26	rust	51.159.86.116:443
chat	09:01:26	rust	51.159.86.116:443
chat	09:01:27	rust	51.159.86.116:443
chat	09:01:27	rust	51.159.86.116:443
chat	09:01:28	rust	51.159.86.116:443
chat	09:01:28	rust	51.159.86.116:443
chat	09:01:29	rust	51.159.86.116:443
chat	09:01:29	rust	51.159.86.116:443
chat	09:01:30	rust	51.159.86.116:443
chat	09:01:30	rust	51.159.86.116:443
chat	09:01:30	rust	51.159.86.116:443
chat	09:01:31	rust	51.159.86.116:443
chat	09:01:31	rust	51.159.86.116:443
chat	09:01:32	rust	51.159.86.116:443
chat	09:01:32	rust	51.159.86.116:443
chat	09:01:33	rust	51.159.86.116:443
chat	09:01:33	rust	51.159.86.116:443
chat	09:01:34	rust	51.159.86.116:443
chat	09:01:34	rust	51.159.86.116:443
chat	09:01:34	rust	51.159.86.116:443
chat	09:01:35	rust	51.159.86.116:443
chat	09:01:35	rust	51.159.86.116:443
chat	09:01:36	rust	51.159.86.116:443
chat	09:01:36	rust	51.159.86.116:443
chat	09:01:37	rust	51.159.86.116:443
chat	09:01:37	rust	51.159.86.116:443
chat	09:01:38	rust	51.159.86.116:443
chat	09:01:38	rust	51.159.86.116:443
chat	09:01:38	rust	51.159.86.116:443
chat	09:01:39	rust	51.159.86.116:443
chat	09:01:39	rust	51.159.86.116:443
chat	09:01:40	rust	51.159.86.116:443
chat	09:01:40	rust	51.159.86.116:443
chat	09:01:41	rust	51.159.86.116:443
chat	09:01:41	rust	51.159.86.116:443
chat	09:01:42	rust	51.159.86.116:443
chat	09:01:42	rust	51.159.86.116:443
chat	09:01:42	rust	51.159.86.116:443
chat	09:01:43	rust	51.159.86.116:443
